service_date,route_id,trip_id,direction_id,direction,from_parent_station,from_stop_id,from_stop_name,to_parent_station,to_stop_id,to_stop_name,from_stop_departure_datetime,from_stop_departure_sec,to_stop_arrival_datetime,to_stop_arrival_sec,travel_time_sec
2024-03-24,Blue,60107773,1,East,place-mvbcl,70046,Maverick,place-bmmnl,70056,Beachmont,2024-03-24T21:51:16Z,78676,2024-03-24T22:02:52Z,79372,696
2024-11-07,Orange,64072442,0,South,place-mlmnl,70034,Malden Center,place-north,70026,North Station,2024-11-07T08:54:49Z,32089,2024-11-07T09:07:09Z,32829,740
2024-11-02,Orange,64166262,1,North,place-chncl,70019,Chinatown,place-dwnxg,70021,Downtown Crossing,2024-11-02T19:35:31Z,70531,2024-11-02T19:35:59Z,70559,28
2024-10-25,Red,ADDED-1582111079,0,South,place-chmnl,70073,Charles/MGH,place-jfk,70095,JFK/UMass,2024-10-25T16:39:27Z,59967,2024-10-25T16:52:28Z,60748,781
2024-11-25,Orange,64072374,0,South,place-bbsta,70014,Back Bay,place-forhl,70001,Forest Hills,2024-11-25T05:55:36Z,21336,2024-11-25T06:09:58Z,22198,862
2024-12-24,Orange,ADDED-1582182295,0,South,place-chncl,70018,Chinatown,place-sbmnl,70004,Stony Brook,2024-12-24T13:37:56Z,49076,2024-12-24T13:48:26Z,49706,630
2024-12-31,Blue,67271523,0,West,place-wimnl,70049,Wood Island,place-mvbcl,70045,Maverick,2024-12-31T11:26:18Z,41178,2024-12-31T11:29:33Z,41373,195
2024-07-08,Blue,63350326,1,East,place-state,70042,State,place-aqucl,70044,Aquarium,2024-07-08T17:12:41Z,61961,2024-07-08T17:13:17Z,61997,36
2024-01-14,Orange,59668978,0,South,place-ccmnl,70028,Community College,place-sbmnl,70004,Stony Brook,2024-01-15T00:01:08Z,86468,2024-01-15T00:22:27Z,87747,1279
2024-07-15,Red,ADDED-1581980330,1,North,place-asmnl,70094,Ashmont,place-jfk,70086,JFK/UMass,2024-07-15T16:34:21Z,59661,2024-07-15T16:42:00Z,60120,459
2024-03-24,Orange,59668967,0,South,place-state,70022,State,place-jaksn,70006,Jackson Square,2024-03-24T21:46:08Z,78368,2024-03-24T22:00:13Z,79213,845
2024-11-04,Red,ADDED-1582123907,0,South,place-pktrm,70075,Park Street,place-qamnl,70103,Quincy Adams,2024-11-04T16:37:57Z,59877,2024-11-04T17:03:56Z,61436,1559
2024-12-10,Red,ADDED-1582169793,1,North,place-andrw,70084,Andrew,place-sstat,70080,South Station,2024-12-10T17:30:36Z,63036,2024-12-10T17:37:30Z,63450,414
2024-07-03,Red,63288343,1,North,place-qnctr,70102,Quincy Center,place-brdwy,70082,Broadway,2024-07-03T15:54:50Z,57290,2024-07-03T16:29:26Z,59366,2076
2024-04-20,Orange,ADDED-1581862199,0,South,place-welln,70032,Wellington,place-state,70022,State,2024-04-20T13:40:25Z,49225,2024-04-20T13:55:31Z,50131,906
2024-02-05,Blue,59736797,0,West,place-aqucl,70043,Aquarium,place-bomnl,70838,Bowdoin,2024-02-05T14:32:41Z,52361,2024-02-05T14:36:21Z,52581,220
2024-05-12,Blue,62157855,0,West,place-wondl,70059,Wonderland,place-bmmnl,70055,Beachmont,2024-05-12T14:34:17Z,52457,2024-05-12T14:36:57Z,52617,160
2024-02-16,Red,60392454,1,North,place-brdwy,70082,Broadway,place-alfcl,70061,Alewife,2024-02-16T15:34:55Z,56095,2024-02-16T16:09:07Z,58147,2052
2024-05-22,Orange,NONREV-1580560336,0,South,place-sbmnl,70004,Stony Brook,place-grnst,70002,Green Street,2024-05-22T15:31:17Z,55877,2024-05-22T15:32:02Z,55922,45
