Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
2024-04-02,000062L,NB,Orange Line,Orange Line,OL NB,NB Community College,place-ccmnl,Station,OLNB-29,Active Restriction,2024-03-01,,25 mph,Track,50.99999999999909,0.0096590909090907,0.0004285310962329519,22.54,7.08040676520359e-05,136.42,Multi-Segment,Start,32,,1,0,0,0,0,1
2024-07-15,526507,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB Harvard to Central,place-harsq | place-cntsq,Between Stations,RBSB-08,Active Restriction,2023-03-20,,25 mph,Track,500.0,0.0946969696969697,0.001997404971461,47.41,0.0006941575260003644,136.42,Single Segment,Start|End,483,,1,0,0,0,0,1
2024-06-29,000130R,SB,Red Line,Red Line - Braintree,RL Alewife-Braintree SB,SB JFK to North Quincy,place-jfk | place-nqncy,Between Stations,RBSB-26,Active Restriction,2024-03-01,,10 mph,Track,300.0,0.0568181818181818,0.0011984429828766,47.41,0.0004164945156002186,136.42,Single Segment,Start|End,120,,1,0,0,0,0,1
2024-03-10,567832,EB,Blue Line,Blue Line,BL EB,EB Aquarium Station,place-aqucl,Station,BLEB-07,Active Restriction,2023-08-07,,10 mph,Track,400.0,0.0757575757575757,0.0060703185703185,12.48,0.0005553260208002915,136.42,Multi-Segment,Start,216,,1,0,0,0,0,1
2024-09-13,000160R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2024-08-29,,25 mph,Track,200.0,0.0378787878787878,0.0007989619885844312,47.41,0.00027766301040014574,136.42,Single Segment,Start|End,15,,1,0,0,0,0,1
2024-07-25,526486,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Active Restriction,2023-03-20,,10 mph,Track,475.9999999999991,0.0901515151515149,0.0019015295328309,47.41,0.0006608379647523457,136.42,Multi-Segment,Start,493,,1,0,0,0,0,1
2024-04-01,000062L,NB,Orange Line,Orange Line,OL NB,NB Comm. College to Sullivan,place-ccmnl | place-sull,Between Stations,OLNB-30,Active Restriction,2024-03-01,,25 mph,Track,549.0000000000009,0.1039772727272729,0.0046130112123901,22.54,0.0007621849635484014,136.42,Multi-Segment,End,31,,0,0,0,0,0,0
2024-05-15,524220,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB North Sta. to Haymarket,place-north | place-haecl,Between Stations,GAWB-16,Active Restriction,2023-03-10,,6 mph,Track,598.9999999999995,0.1134469696969696,0.0021012589312274,53.99,0.000831600716148436,136.42,Multi-Segment,Start,432,,1,0,0,0,0,1
2024-07-01,516965,WB,Green Line,Green Line Trunk,GL Kenmore-College Ave WB,WB Haymarket to Govt Center,place-haecl | place-gover,Between Stations,GAWB-18,Active Restriction,2023-02-13,,5 mph,Track,500.0,0.0946969696969697,0.001753972396684,53.99,0.0006941575260003644,136.42,Single Segment,Start|End,504,,1,1,0,0,0,1
2024-01-06,528761,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Blandford St to BU East,place-bland | place-buest,Between Stations,GBWB-04,Active Restriction,2023-03-30,,6 mph,Track,219.0000000000001,0.0414772727272727,0.0007682399097475968,53.99,0.00030404099638815975,136.42,Multi-Segment,Start,282,,1,0,0,0,0,1
