mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,Green Street,place-grnst,12765,1046,13,982,80,4762,571
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Stony Brook,place-sbmnl,17875,1802,13,1375,139,7667,561
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_09,NIGHT,Wonderland,place-wondl,0,8917,75,0,119,0,57
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Ruggles,place-rugg,1476,2536,60,25,42,248,621
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_08,LATE_EVENING,Wellington,place-welln,1052,18458,60,18,308,975,524
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Downtown Crossing,place-dwnxg,82989,78006,60,1383,1300,4943,399
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Savin Hill,place-shmnl,129,110,49,3,2,30,1165
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_07,EVENING,Central,place-cntsq,43046,21395,49,878,437,3031,1134
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Forest Hills,place-forhl,67605,0,13,5200,0,5200,550
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,South Station,place-sstat,85764,87677,49,1750,1789,7300,719
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_07,EVENING,Wellington,place-welln,16917,1105,60,282,18,886,433
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_03,Sunday,time_period_11,OFF_PEAK,Park Street,place-pktrm,48366,54058,7,6909,7723,14616,1081
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Airport,place-aport,86010,14845,75,1147,198,5190,157
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_07,EVENING,Maverick,place-mvbcl,43052,21031,75,574,280,1738,110
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_02,EARLY_AM,Quincy Center,place-qnctr,394,3554,49,8,73,82,1186
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Savin Hill,place-shmnl,4616,282,49,94,6,909,495
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Green Street,place-grnst,29633,2002,60,494,33,2667,381
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Charles/MGH,place-chmnl,53467,23952,49,1091,489,7399,949
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Jackson Square,place-jaksn,62172,6308,60,1036,105,4167,383
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_03,Sunday,time_period_11,OFF_PEAK,Roxbury Crossing,place-rcmnl,4644,14179,13,357,1091,7020,661
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_07,EVENING,Bowdoin,place-bomnl,0,9257,75,0,123,0,108
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,South Station,place-sstat,3921,4078,49,80,83,391,1010
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Ruggles,place-rugg,6979,52989,60,116,883,1028,689
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Oak Grove,place-ogmnl,47377,0,60,790,0,790,757
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_03,Sunday,time_period_11,OFF_PEAK,Wood Island,place-wimnl,2316,17324,16,145,1083,8244,82
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Roxbury Crossing,place-rcmnl,1855,1396,60,31,23,385,278
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,North Quincy,place-nqncy,8645,2350,7,1235,336,4942,1019
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_03,AM_PEAK,Jackson Square,place-jaksn,54944,3068,60,916,51,4460,363
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Ashmont,place-asmnl,0,4615,49,0,94,0,992
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_02,Saturday,time_period_10,OFF_PEAK,JFK/UMass,place-jfk,9680,22566,10,968,2257,11748,1056
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Sullivan Square,place-sull,7291,35232,13,561,2710,11995,562
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_02,EARLY_AM,Wood Island,place-wimnl,12290,1171,75,164,16,1687,156
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,10677,3151,49,218,64,1171,978
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Wellington,place-welln,2779,82810,60,46,1380,4204,334
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,JFK/UMass,place-jfk,3260,2869,49,67,59,867,466
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Orient Heights,place-orhte,67535,5878,75,900,78,3509,175
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Alewife,place-alfcl,0,4235,49,0,86,0,886
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_02,Saturday,time_period_10,OFF_PEAK,Haymarket,place-haecl,36715,22572,13,2824,1736,17732,635
