mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_02,Saturday,time_period_10,OFF_PEAK,Central,place-cntsq,26125,55259,10,2612,5526,19351,912
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_02,EARLY_AM,Forest Hills,place-forhl,46805,0,60,780,0,780,290
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Andrew,place-andrw,503,1215,49,10,25,102,1037
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Chinatown,place-chncl,28814,25689,60,480,428,5551,377
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_03,Sunday,time_period_11,OFF_PEAK,Andrew,place-andrw,10565,4031,7,1509,576,11740,951
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Quincy Adams,place-qamnl,9964,321,49,203,7,452,980
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_06,PM_PEAK,State,place-state,222184,5734,75,2962,76,7008,219
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_09,NIGHT,Assembly,place-astao,1038,130,60,17,2,53,454
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_02,Saturday,time_period_10,OFF_PEAK,Community College,place-ccmnl,14486,4812,13,1114,370,15256,631
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Revere Beach,place-rbmnl,46740,596,75,623,8,2156,164
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Broadway,place-brdwy,8390,21245,49,171,434,3475,817
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,Central,place-cntsq,59695,27118,49,1218,553,5515,1196
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_09,NIGHT,Downtown Crossing,place-dwnxg,5312,2875,60,89,48,285,529
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_07,EVENING,South Station,place-sstat,46089,59107,49,941,1206,4892,1149
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_06,PM_PEAK,Porter,place-portr,27598,5647,49,563,115,2037,1122
Heavy Rail,Fall 2024,Blue,Blue Line,WB,day_type_01,Weekday,time_period_02,EARLY_AM,Beachmont,place-bmmnl,19287,615,75,257,8,1126,97
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_03,AM_PEAK,North Quincy,place-nqncy,2396,8521,49,49,174,387,804
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_03,AM_PEAK,Revere Beach,place-rbmnl,394,8851,75,5,118,147,32
Heavy Rail,Fall 2024,Blue,Blue Line,EB,day_type_01,Weekday,time_period_08,LATE_EVENING,Wonderland,place-wondl,0,32601,75,0,435,0,245
Heavy Rail,Fall 2024,Red,Red Line,NB,day_type_01,Weekday,time_period_06,PM_PEAK,Savin Hill,place-shmnl,8184,2812,49,167,57,1231,1024
Heavy Rail,Fall 2024,Orange,Orange Line,NB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,State,place-state,39111,84264,60,652,1404,4144,310
Heavy Rail,Fall 2024,Red,Red Line,SB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,South Station,place-sstat,33992,117280,49,694,2393,3762,833
Heavy Rail,Fall 2024,Orange,Orange Line,SB,day_type_01,Weekday,time_period_01,VERY_EARLY_MORNING,Downtown Crossing,place-dwnxg,2959,9678,60,49,161,506,589
