Route,Mean_RSS,CI_Lower,CI_Upper,CI_Width
Blue,85.63689063162398,79.11751274153477,92.36223080724294,13.24471806570817
Orange,88.76219500531812,82.04183395905834,93.93401247489399,11.892178515835653
Red,86.5347444674169,80.44180239729064,93.03215564737431,12.590353250083666
